name	cost
Bus. In. & Skills	32480
Department For Bus. In. & Skills	18178
Higher Education Funding Council For England	5037
Skills Funding Agency	4401
Engineering & Physical Sciences Research Council	894
Medical Research Council	785
Science & Technology Facilities Council	595
Technology Strategy Board	536
Biotechnology & Biological Sciences Research Cncl	473
Natural Environment Research Council	395
UK Green Investment Bank Plc	306
Economic & Social Research Council	209
Student Loans Company	161
Arts & Humanities Research Council	100
Bis (Postal Services Act 2011) Company Limited	98
Research Councils Projects	93
UK Commission For Employment & Skills	62
Advisory Conciliation & Arbitration Service	49
Rc UK Shared Services Centre Limited	40
Competition Commission	23
Construction Industry Training Board	8
Consumer Focus	6
Regional Development Agencies	5
United Kingdom Atomic Energy Authority	5
Competition Service	4
Engineering Construction Industry Training Board	4
Capital For Enterprise	3
Learning & Skills Improvement Service	3
Diamond Light Source Limited	2
National Endowment For Science Technology & Arts	2
Office For Fair Access	1
Financial Reporting Council Limited	0
	
Culture Media & Sport	6109
British Broadcasting Corporation	3219
Big Lottery Fund	729
Arts Council	460
Museums & Galleries (SUBGROUP)	426
Heritage Lottery Fund	274
Sport England Lottery	157
Department For Culture Media & Sport	134
Libraries (SUBGROUP)	116
Heritage Bodies (SUBGROUP)	105
Sport England	92
Arts Council Of England Lottery	78
National Lottery: UK Sport Lottery	52
UK Film Council Lottery	47
Visit Britain	47
United Kingdom Sports Council	44
Scottish Arts Council Lottery	27
British Film Institute	25
Sport Scotland Lottery	25
Equalities & Human Rights Commission	19
Arts Council Of Wales Lottery	17
National Heritage Memorial Fund	12
Ofcom (DCMS)	12
Sports Council For Northern Ireland Lottery	9
Sports Council For Wales Lottery	9
Arts Council Of Northern Ireland Lottery	8
S4c	7
United Kingdom Anti Doping	6
Football Licensing Authority	1
The Gambling Commission	0
Olympic Delivery Authority	-44
	
Health	115398
Foundation Trusts	37353
The National Health Service Commissioning Board	33768
NHS Trusts	29552
Department Of Health (NHS)	14318
Health & Social Care Information Centre	151
Care Quality Commission	122
Independent Regulator For NHS Foundation Trusts	68
National Institute For Clinical Excellence	62
Council For Healthcare Regulatory Excellence	3
Human Fertilisation & Embryology Authority	1
Human Tissue Authority	1
NHS Appointments Commission	0
	
DEFRA	2366
Department For Environment Food & Rural Affairs	1176
Environment Agency	928
Natural England	184
Royal Botanical Gardens Kew	32
Marine Management Organisation	28
Joint Nature Conservation Committee	10
Consumer Council For Water	6
National Forest Company	3
Gangmasters Licensing Authority	2
Agriculture & Horticulture Development Board	0
Sea Fish Industry Authority	-1
	
Transport	14011
Department For Transport	13831
High Speed 2	212
British Transport Police Authority	9
Trinity House Lighthouse Service	7
Rail Passenger Council	5
Northern Lighthouse Board	4
Directly Operated Railways	1
Commissioners Of Irish Lights	-4
London & Continental Railways	-17
Air Travel Trust	-37
	
